County,Democratic,Republican,Libertarian,Other,Total
Accomack County,"3,806","4,879",382,19,"9,086"
Albemarle County,"19,039","12,408","3,279",362,"35,088"
Alexandria City,"29,584","9,405","2,029",200,"41,218"
Alleghany County,"1,628","1,993",487,28,"4,136"
Amelia County,"1,338","2,613",290,16,"4,257"
Amherst County,"2,993","5,466",550,30,"9,039"
Appomattox County,"1,241","3,475",348,20,"5,084"
Arlington County,"48,346","14,978","3,934",281,"67,539"
Augusta County,"5,100","13,817","1,404",88,"20,409"
Bath County,392,686,127,8,"1,213"
Bedford County,"5,802","17,330","1,769",119,"25,020"
Bland County,388,"1,300",150,11,"1,849"
Botetourt County,"2,924","7,366",931,92,"11,313"
Bristol City,"1,305","2,536",133,22,"3,996"
Brunswick County,"2,704","1,618",188,13,"4,523"
Buchanan County,"1,461","3,275",105,8,"4,849"
Buckingham County,"1,804","2,053",292,14,"4,163"
Buena Vista City,422,721,97,5,"1,245"
Campbell County,"3,712","11,133",940,82,"15,867"
Caroline County,"3,794","3,380",564,47,"7,785"
Carroll County,"2,182","5,061",603,32,"7,878"
Charles City County,"1,558",828,145,11,"2,542"
Charlotte County,"1,358","2,104",262,8,"3,732"
Charlottesville City,"9,440","1,922","1,026",120,"12,508"
Chesapeake City,"30,838","28,855","3,391",193,"63,277"
Chesterfield County,"42,865","51,114","9,949","1,064","104,992"
Clarke County,"2,002","2,596",301,8,"4,907"
Colonial Heights City,"1,131","3,319",560,50,"5,060"
Covington City,590,513,161,11,"1,275"
Craig County,396,"1,063",168,5,"1,632"
Culpeper County,"3,923","7,272",678,67,"11,940"
Cumberland County,"1,190","1,456",252,10,"2,908"
Danville City,"5,389","4,824",595,28,"10,836"
Dickenson County,"1,184","2,125",105,19,"3,433"
Dinwiddie County,"3,380","3,507",549,22,"7,458"
Emporia City,987,569,90,9,"1,655"
Essex County,"1,381","1,487",225,22,"3,115"
Fairfax County,"178,746","110,681","15,828","1,175","306,430"
Fairfax City,"3,987","2,777",397,35,"7,196"
Falls Church City,"3,523","1,142",253,24,"4,942"
Fauquier County,"7,376","12,565",992,59,"20,992"
Floyd County,"1,488","2,636",427,29,"4,580"
Fluvanna County,"3,348","3,774",736,52,"7,910"
Franklin County,"4,756","10,011","1,453",104,"16,324"
Franklin City,"1,362",833,92,16,"2,303"
Frederick County,"6,339","13,148","1,070",48,"20,605"
Fredericksburg City,"3,488","2,154",400,30,"6,072"
Galax City,455,728,98,4,"1,285"
Giles County,"1,541","2,944",487,25,"4,997"
Gloucester County,"3,633","6,688",862,21,"11,204"
Goochland County,"3,077","5,155",839,127,"9,198"
Grayson County,"1,400","3,094",359,0,"4,853"
Greene County,"1,719","3,069",534,30,"5,352"
Greensville County,"1,724","1,012",130,4,"2,870"
Halifax County,"3,909","5,432",622,59,"10,022"
Hampton City,"24,631","10,384","1,902",54,"36,971"
Hanover County,"10,862","23,415","3,860",683,"38,820"
Harrisonburg City,"4,190","3,236",572,39,"8,037"
Henrico County,"53,132","39,400","9,709","1,448","103,689"
Henry County,"4,558","8,024",917,34,"13,533"
Highland County,279,557,63,4,903
Hopewell City,"2,499","2,446",456,28,"5,429"
Isle of Wight County,"4,843","6,547",748,24,"12,162"
James City County,"11,344","13,756","1,722",94,"26,916"
King and Queen County,968,"1,051",156,22,"2,197"
King George County,"2,289","3,985",382,12,"6,668"
King William County,"1,671","2,976",543,48,"5,238"
Lancaster County,"1,786","2,367",329,55,"4,537"
Lee County,"1,180","3,507",101,8,"4,796"
Lexington City,936,499,65,19,"1,519"
Loudoun County,"44,369","40,464","4,502",205,"89,540"
Louisa County,"3,546","5,381",972,54,"9,953"
Lunenburg County,"1,397","1,705",234,11,"3,347"
Lynchburg City,"7,923","10,632","1,188",109,"19,852"
Madison County,"1,575","2,510",420,17,"4,522"
Manassas City,"4,013","3,828",381,19,"8,241"
Manassas Park City,"1,142",888,93,3,"2,126"
Martinsville City,"1,723","1,411",240,18,"3,392"
Mathews County,"1,194","2,044",214,35,"3,487"
Mecklenburg County,"3,038","4,226",263,27,"7,554"
Middlesex County,"1,375","2,131",391,21,"3,918"
Montgomery County,"10,689","10,133","2,394",133,"23,349"
Nelson County,"2,523","2,314",497,35,"5,369"
New Kent County,"2,120","4,365",766,70,"7,321"
Newport News City,"25,085","14,803","2,444",87,"42,419"
Norfolk City,"31,708","11,654","2,703",195,"46,260"
Northampton County,"2,048","1,589",301,12,"3,950"
Northumberland County,"1,961","2,823",394,53,"5,231"
Norton City,346,482,37,6,871
Nottoway County,"1,756","1,899",327,19,"4,001"
Orange County,"3,629","5,561",767,38,"9,995"
Page County,"2,001","3,754",313,21,"6,089"
Patrick County,"1,373","3,553",191,7,"5,124"
Petersburg City,"7,260",798,223,19,"8,300"
Pittsylvania County,"5,419","11,682","1,090",64,"18,255"
Poquoson City,"1,040","2,987",377,11,"4,415"
Portsmouth City,"17,671","6,776","1,428",78,"25,953"
Powhatan County,"2,327","6,748",995,127,"10,197"
Prince Edward County,"2,674","2,252",389,23,"5,338"
Prince George County,"3,580","5,011",674,51,"9,316"
Prince William County,"50,441","42,431","4,084",160,"97,116"
Pulaski County,"2,581","4,720",713,48,"8,062"
Radford City,"1,364","1,254",287,19,"2,924"
Rappahannock County,"1,290","1,499",123,8,"2,920"
Richmond County,836,"1,295",150,20,"2,301"
Richmond City,"42,957","9,854","5,226",517,"58,554"
Roanoke County,"9,844","18,040","2,718",371,"30,973"
Roanoke City,"11,714","7,786","2,099",182,"21,781"
Rockbridge County,"2,431","3,640",588,61,"6,720"
Rockingham County,"5,725","14,968","1,317",118,"22,128"
Russell County,"1,914","3,920",201,16,"6,051"
Salem City,"2,324","4,019",732,101,"7,176"
Scott County,"1,158","4,001",124,10,"5,293"
Shenandoah County,"3,565","7,345",649,44,"11,603"
Smyth County,"2,307","4,880",323,22,"7,532"
Southampton County,"2,295","2,578",237,19,"5,129"
Spotsylvania County,"12,220","17,755","1,657",98,"31,730"
Stafford County,"13,657","18,595","1,756",113,"34,121"
Staunton City,"3,058","2,869",503,42,"6,472"
Suffolk City,"13,132","9,906","1,143",59,"24,240"
Surry County,"1,576",977,116,9,"2,678"
Sussex County,"1,834","1,259",144,9,"3,246"
Tazewell County,"2,358","7,490",275,12,"10,135"
Virginia Beach City,"49,357","51,494","7,023",379,"108,253"
Warren County,"3,392","5,873",416,21,"9,702"
Washington County,"3,936","9,989",520,40,"14,485"
Waynesboro City,"1,918","2,598",460,30,"5,006"
Westmoreland County,"2,115","2,116",217,17,"4,465"
Williamsburg City,"2,748","1,337",254,25,"4,364"
Winchester City,"2,631","2,702",326,25,"5,684"
Wise County,"2,196","5,830",273,25,"8,324"
Wythe County,"2,049","4,967",641,55,"7,712"
York County,"7,745","11,923","1,418",43,"21,129"
TOTALS,"1,069,789","1,013,354","146,084","11,844","2,241,071"
